8,C_60.00_0_0_5_0,C_60.00_1_0_5_0,C_60.00_0_1_10_0,C_60.00_0_0_5_1,C_60.00_1_0_5_1,C_60.00_1_1_10_0,C_60.00_0_1_10_1,C_60.00_1_1_10_1,
tsp_instance1,4.631940,4.693733,3.032938,3.822136,3.812028,2.923366,2.506615,2.714326,
tsp_instance2,6.398616,6.350371,2.680432,4.153475,4.175344,3.137210,2.510277,2.348931,
tsp_instance3,2.322421,2.322219,1.538500,1.520130,1.510439,1.507555,0.551627,0.559470,
tsp_instance4,4.731668,4.679453,1.679276,3.141038,3.236711,1.524118,1.488016,2.286429,
tsp_instance5,1.030542,0.995076,1.726829,1.202241,1.213193,1.627555,0.412346,0.771234,
tsp_instance6,21.281120,21.373848,24.535740,23.567347,23.864463,22.554190,12.645039,23.820019,
tsp_instance7,3.100584,3.138103,1.562044,0.970739,1.011324,0.788640,0.877019,0.499336,
tsp_instance8,4.046447,4.056691,3.305207,3.244630,3.286312,3.230929,2.839119,3.109986,
tsp_instance9,6.235652,6.248914,2.220804,2.720175,2.819630,4.222438,1.071603,1.042961,
tsp_instance10,5.282680,5.319803,2.634419,4.089280,4.037213,2.499987,3.148911,3.993906,
