7,G_10_7,G_5_3,G_5_7,G_3_3,G_3_7,G_2_3,G_2_7,
tsp_instance1,247742.408506,244869.651426,246499.095268,242179.066542,247825.498853,247686.783823,243926.415617,
tsp_instance2,246170.235764,244803.287753,246467.607591,245667.679750,242912.580258,243452.762877,246462.401909,
tsp_instance3,248490.466623,247334.616545,244833.307358,247716.605259,245701.106708,247311.471485,247431.312236,
tsp_instance4,242505.328343,244382.224007,242284.069145,239890.555651,242995.143411,241063.401733,242285.448421,
tsp_instance5,247585.373827,247378.739031,246763.781195,246976.579509,246000.063555,245461.790169,246343.971017,
tsp_instance6,250727.877251,244664.234398,244606.043115,244382.998528,245057.752404,243696.210041,246446.113820,
tsp_instance7,242659.670017,241475.116054,242143.148358,239828.691211,241615.670942,241644.587261,241212.997641,
tsp_instance8,245915.048575,242438.770844,244705.826920,245580.825967,244036.741555,243291.598546,241847.584725,
tsp_instance9,246502.380843,245840.222968,247271.828012,246523.370662,247322.163457,243967.839946,247131.328438,
tsp_instance10,249884.361454,244711.430307,246917.352712,246957.324528,245993.323949,242288.104866,245031.560587,
