4,GA_200_20,GA_50_20,GA_25_10,GA_10_5,
tsp_instance1,259148.172063,260749.691969,247276.843001,252863.889659,
tsp_instance2,267018.654522,255942.678804,257301.591910,257447.985226,
tsp_instance3,258297.980479,256123.423474,262766.195882,256705.035938,
tsp_instance4,264808.552713,253882.720153,259382.229368,254466.424886,
tsp_instance5,260718.367790,260942.949655,259406.949884,262087.008723,
tsp_instance6,265384.471918,259753.282281,256285.433327,260529.501534,
tsp_instance7,262770.607037,251221.392294,251800.388443,247908.445214,
tsp_instance8,256751.537594,261200.900496,253780.904156,245973.330207,
tsp_instance9,262046.423809,261839.809930,254552.072434,260773.671229,
tsp_instance10,255425.289141,263300.459661,255998.891285,255411.512535,
