5,H_180.00_0_50_100,H_180.00_1_20_100,H_180.00_1_40_100,H_180.00_1_50_100,H_180.00_1_80_100,
tsp_instance1,237049.541815,240966.315381,240966.315381,240966.315381,240966.315381,
tsp_instance2,237910.603053,243457.961362,243457.961362,243877.693554,243877.693554,
tsp_instance3,235107.016293,240893.169265,240893.169265,240893.169265,240893.169265,
tsp_instance4,229239.291292,235310.347778,235310.347778,235310.347778,235310.347778,
tsp_instance5,239407.105155,243192.183598,243192.183598,243192.183598,243192.183598,
tsp_instance6,239280.648280,243521.200853,243521.200853,243521.200853,243521.200853,
tsp_instance7,234020.658191,237536.630276,237536.630276,237536.630276,237536.630276,
tsp_instance8,235544.590376,239831.211945,239831.211945,239831.211945,239831.211945,
tsp_instance9,242624.423972,242924.707620,242924.707620,242924.707620,242924.707620,
tsp_instance10,236639.262672,244061.977146,244061.977146,244061.977146,243384.257182,
