5,L_180.00_10_7000,L_180.00_20_7000,L_180.00_30_7000,L_180.00_50_7000,L_180.00_70_7000,
tsp_instance1,234062.035046,233483.003368,232429.358260,232397.516156,236091.403186,
tsp_instance2,235389.756478,234944.263983,235452.109006,236133.835553,233627.604226,
tsp_instance3,233784.718169,232443.945868,233419.734910,236795.106431,235346.634094,
tsp_instance4,229890.369161,228509.167998,227887.859986,229514.271709,234995.477925,
tsp_instance5,235510.286735,234062.374554,234486.217634,234383.801565,238926.376306,
tsp_instance6,234375.035006,233324.251972,232652.963389,234660.857007,236862.545657,
tsp_instance7,229037.951164,228842.709837,228657.029391,229142.434808,237477.379695,
tsp_instance8,234249.193237,232621.792129,232429.881623,233308.157791,234798.768568,
tsp_instance9,235758.242199,235757.943219,236571.185249,235845.028753,241450.394249,
tsp_instance10,238556.981607,234514.678219,233406.392084,233821.594614,234029.670544,
