3,L_180.00_10_9000,L_180.00_20_9000,L_180.00_30_9000,
tsp_instance1,234474.743762,233012.589141,232358.736527,
tsp_instance2,236012.450568,234930.037974,233564.858711,
tsp_instance3,233084.661554,232284.439635,232658.264453,
tsp_instance4,229763.678902,228091.128393,228295.393101,
tsp_instance5,235090.734853,234437.308121,234730.973868,
tsp_instance6,234492.592474,233406.240074,233208.168846,
tsp_instance7,229029.111299,228790.283995,228792.414868,
tsp_instance8,235646.413432,232985.189357,232912.917970,
tsp_instance9,236210.034193,235762.700433,235307.877735,
tsp_instance10,238647.138606,233715.581298,232873.859349,
