5,L_180.00_10_9000,L_180.00_20_9000,L_180.00_30_9000,L_180.00_50_9000,L_180.00_70_9000,
tsp_instance1,234474.743762,233012.589141,232358.736527,233462.134739,235533.438044,
tsp_instance2,236012.450568,234930.037974,233564.858711,235907.060977,233603.491552,
tsp_instance3,233084.661554,232284.439635,232658.264453,234068.516232,236498.013240,
tsp_instance4,229763.678902,228091.128393,228295.393101,229521.016011,234995.477925,
tsp_instance5,235090.734853,234437.308121,234730.973868,233480.954211,239064.277601,
tsp_instance6,234492.592474,233406.240074,233208.168846,233338.795704,236862.545657,
tsp_instance7,229029.111299,228790.283995,228792.414868,229279.037789,237614.885439,
tsp_instance8,235646.413432,232985.189357,232912.917970,233579.521004,236780.771968,
tsp_instance9,236210.034193,235762.700433,235307.877735,234843.308685,236254.979278,
tsp_instance10,238647.138606,233715.581298,232873.859349,233077.442722,234336.393065,
