5,GA_500_20,GA_500_50,GA_1000_20,GA_1000_50,GA_1000_100,
tsp_instance1,2883126.212274,3051510.973037,2704840.026304,3267666.084255,2874747.591926,
tsp_instance2,2715295.490391,3087381.590460,3108097.177133,2811265.622210,3484139.521495,
tsp_instance3,2974169.501160,2657976.864610,3107606.810826,2990543.709742,2849325.341808,
tsp_instance4,2405431.055499,3033532.307715,3282164.470989,3120775.777904,3049357.537097,
tsp_instance5,3177713.217357,2766415.354361,2934780.080488,3066992.157978,2831154.930966,
tsp_instance6,3076270.425072,2978440.279700,2740926.212878,3163051.803778,3198326.025633,
tsp_instance7,2479486.597023,2993142.115671,3251502.642878,3001708.367286,3276474.209716,
tsp_instance8,2782127.710919,2994213.267293,2961749.832138,3192470.499206,3197265.391464,
tsp_instance9,2568269.739073,2781207.243403,3115193.713491,3064137.318884,3103784.954440,
tsp_instance10,3058747.731235,2320255.081839,3177860.411759,3248881.739735,3089837.304552,
