6,T_300_700_50,T_300_700_100,T_500_700_50,T_500_700_100,T_700_900_50,T_700_900_100,
tsp_instance1,241923.531502,241772.970601,242445.893200,242159.725567,240825.884058,241122.687415,
tsp_instance2,244618.014541,243110.815491,244349.905726,244332.842116,244028.444249,244596.336046,
tsp_instance3,242073.615567,242395.297641,241424.340854,241455.708116,239316.872769,239640.926343,
tsp_instance4,235291.066061,235314.954149,235836.553150,235285.057023,235585.925736,235241.015715,
tsp_instance5,242791.946054,242521.892747,241173.175175,242695.722827,240392.263649,240555.557916,
tsp_instance6,241964.510588,242003.395740,241635.678616,241323.878824,241780.464571,241971.416020,
tsp_instance7,234654.523804,234885.684217,234229.601972,234140.408881,234256.906679,234144.344906,
tsp_instance8,240442.270077,240080.103145,240324.638181,240570.213255,240530.035829,240538.278956,
tsp_instance9,243281.670407,243244.191399,242870.892260,242650.631344,241065.354668,241646.562269,
tsp_instance10,243294.353809,242302.149648,242341.101467,242706.943119,242741.408329,242026.060135,
