5,V_1_3,V_5_3,V_1_5,V_3_5,V_1_7,
tsp_instance1,241368.000000,240637.000000,242002.000000,239432.000000,241992.000000,
tsp_instance2,245202.000000,240992.000000,244253.000000,243018.000000,244856.000000,
tsp_instance3,243061.000000,239998.000000,241947.000000,240746.000000,241984.000000,
tsp_instance4,237820.000000,235266.000000,236014.000000,235061.000000,236501.000000,
tsp_instance5,244250.000000,241410.000000,242510.000000,240785.000000,242596.000000,
tsp_instance6,243850.000000,241092.000000,241921.000000,241451.000000,242889.000000,
tsp_instance7,237759.000000,235440.000000,238218.000000,236119.000000,237328.000000,
tsp_instance8,243750.000000,240919.000000,240844.000000,241112.000000,242501.000000,
tsp_instance9,244082.000000,242724.000000,243303.000000,241927.000000,243858.000000,
tsp_instance10,246358.000000,241689.000000,243125.000000,242711.000000,244093.000000,
