3,G_20_3,V_5_3,T_200_500_50,
tsp_instance1,248478.000000,240637.000000,241709.000000,
tsp_instance2,249654.000000,241380.000000,245757.000000,
tsp_instance3,249546.000000,239998.000000,241998.000000,
tsp_instance4,245514.000000,235266.000000,235814.000000,
tsp_instance5,247027.000000,241410.000000,242681.000000,
tsp_instance6,249037.000000,241702.000000,242449.000000,
tsp_instance7,243859.000000,235440.000000,238478.000000,
tsp_instance8,245090.000000,241232.000000,241744.000000,
tsp_instance9,248064.000000,242724.000000,244079.000000,
tsp_instance10,249083.000000,242047.000000,243596.000000,
