4,VNS,Tabu,GRASP,Genetic,
tsp_instance1,239379.767050,240825.884058,247686.783823,252863.889659,
tsp_instance2,240581.916207,244028.444249,243452.762877,257447.985226,
tsp_instance3,238560.259193,239316.872769,247311.471485,256705.035938,
tsp_instance4,233947.672105,235585.925736,241063.401733,254466.424886,
tsp_instance5,242231.882991,240392.263649,245461.790169,262087.008723,
tsp_instance6,240589.667768,241138.152744,243696.210041,260529.501534,
tsp_instance7,234484.826445,234256.906679,241644.587261,247908.445214,
tsp_instance8,239159.481270,240530.035829,243291.598546,245973.330207,
tsp_instance9,241446.822769,241065.354668,243967.839946,260773.671229,
tsp_instance10,239439.590781,242741.408329,242288.104866,255411.512535,
